scheme,tnum,ttime,tops,ops,tsize,size,p95,p99,p9999
Random,202206,174.429,207409712,1.21E+06,1.30E+11,738615,0.000141,0.000163,0.000647
Random,202206,174.49,207409712,1.21E+06,1.30E+11,740268,0.000141,0.000162,0.000546
Random,202206,175,207409712,1.20E+06,1.30E+11,737792,0.000142,0.000164,0.000582
Random,202401,129.407,154604153,1.22E+06,1.20E+11,921139,0.000141,0.000163,0.000617
Random,202401,129.686,154604153,1.21E+06,1.20E+11,919465,0.000141,0.000164,0.000583
Random,202401,130.103,154604153,1.21E+06,1.20E+11,918105,0.000142,0.000164,0.000533
Replica,202206,173.818,207409712,1.21E+06,1.30E+11,740233,0.000141,0.000162,0.000605
Replica,202206,174.258,207409712,1.21E+06,1.30E+11,738876,0.000141,0.000162,0.000557
Replica,202206,174.89,207409712,1.21E+06,1.30E+11,739576,0.000141,0.000162,0.000547
Replica,202401,129.531,154604153,1.21E+06,1.20E+11,919191,0.000142,0.000164,0.000549
Replica,202401,129.831,154604153,1.21E+06,1.20E+11,919514,0.000141,0.000163,0.000606
Replica,202401,130.272,154604153,1.21E+06,1.20E+11,918155,0.000142,0.000164,0.000591
SPCache,202206,179.722,207409712,1.17E+06,1.30E+11,718123,0.000141,0.000157,0.000543
SPCache,202206,179.809,207409712,1.17E+06,1.31E+11,718712,0.000141,0.000158,0.00051
SPCache,202206,182.555,207409712,1.15E+06,1.30E+11,707312,0.000142,0.000162,0.002443
SPCache,202401,132,154604153,1.19E+06,1.20E+11,901869,0.00014,0.000157,0.000573
SPCache,202401,133.983,154604153,1.17E+06,1.20E+11,885625,0.000142,0.000159,0.000521
SPCache,202401,133.403,154604153,1.17E+06,1.20E+11,887068,0.000142,0.000159,0.000532
Clime,202206,63.478,207409712,3.49E+06,1.30E+11,2.13E+06,0.00013,0.000151,0.000427
Clime,202206,57.5585,207409712,3.87E+06,1.20E+11,2.18E+06,0.000129,0.000151,0.000413
Clime,202206,57.5023,207409712,3.86E+06,1.20E+11,2.17E+06,0.000129,0.000151,0.000435
Clime,202401,40.5298,154604153,4.03E+06,1.20E+11,3.05E+06,0.000128,0.000149,0.000418
Clime,202401,40.439,154604153,4.03E+06,1.20E+11,3.05E+06,0.000128,0.000149,0.000427
Clime,202401,40.7253,154604153,4.04E+06,1.20E+11,3.06E+06,0.000127,0.000149,0.000413
Replica,1,768.383,946782610,1.26E+06,3.12123E+11,406323,0.000136,0.00015,0.00046
Replica,1,766.171,946782610,1.26E+06,3.12123E+11,406702,0.000136,0.00015,0.000457
Replica,1,765.805,946782610,1.26E+06,3.12123E+11,406490,0.000136,0.00015,0.000444
Replica,2,756.224,925150952,1.25E+06,1.00382E+11,132154,0.000138,0.000154,0.000477
Replica,2,751.773,925150952,1.26E+06,1.00382E+11,133157,0.000137,0.000151,0.000452
Replica,2,750.566,925150952,1.26E+06,1.00382E+11,133503,0.000136,0.000151,0.00044
Replica,23,618.958,717324320,1.19E+06,43298200234,69824.1,0.000153,0.000189,0.00049
Replica,23,618.955,717324320,1.19E+06,43336866602,69936.7,0.000153,0.00019,0.000486
Replica,23,620.947,717324320,1.18E+06,43759908053,70128.9,0.000155,0.000207,0.000543
Replica,25,1414.55,1525189585,1.13E+06,65696140905,47390.7,0.000182,0.000245,0.00057
Replica,25,1412.37,1525189585,1.13E+06,65696140905,47434.4,0.000182,0.000238,0.000557
Replica,25,1425.05,1525189585,1.11E+06,65696140905,46816.6,0.000188,0.00029,0.000579
Replica,99,24.768,30000000,1.24E+06,30000000,1207.11,0.000139,0.000154,0.000444
Replica,99,24.5938,30000000,1.24E+06,30000000,1213.02,0.000138,0.000154,0.000452
Replica,99,24.4954,30000000,1.24E+06,30000000,1214.55,0.000138,0.000153,0.000442
