scheme,netband,ttime,tops,ops,tsize,size,p95,p99,p9999
AC-Cache,5,458.473,30000000,67289.8,1.23E+11,269159,0.000142,0.018304,0.236189
AC-Cache,10,25.6739,30000000,1.27E+06,1.23E+11,5.06E+06,0.000124,0.00016,0.037192
AC-Cache,1,1084.1,30000000,28334.7,1.23E+11,113339,0.00019,0.207247,0.681209
EC-Cache,5,580.216,30000000,52455.9,1.23E+11,209824,0.000157,0.204546,0.212853
EC-Cache,10,31.5582,30000000,1.00E+06,1.23E+11,4.00E+06,0.000149,0.000179,0.013461
EC-Cache,1,1326.41,30000000,22797.9,1.23E+11,91191.6,0.000206,0.207777,0.638175
Baseline,5,583.341,30000000,52329.3,1.23E+11,209317,0.000156,0.204565,0.21463
Baseline,10,30.7288,30000000,1.01E+06,1.23E+11,4.05E+06,0.000149,0.000185,0.012562
Baseline,1,1342.92,30000000,22579.1,1.23E+11,90316.6,0.000206,0.207791,0.650296
Replication,5,584.164,30000000,52282.6,1.23E+11,209130,0.000155,0.204578,0.214897
Replication,10,31.4261,30000000,1.02E+06,1.23E+11,4.09E+06,0.000148,0.000177,0.013139
Replication,1,1337.06,30000000,22698.8,1.23E+11,90795.3,0.000206,0.207728,0.642557
SP-Cache,5,463.936,30000000,66118.7,1.23E+11,264416,0.000157,0.017311,0.215331
SP-Cache,10,29.3515,30000000,1.03E+06,1.23E+11,4.12E+06,0.000132,0.000177,0.000873
SP-Cache,1,1447.67,30000000,20899.2,1.23E+11,83596.2,0.000495,0.208294,0.427894
