Scheme,traceno,windowsize,time,ops,iops,size,thrupt,l95,l99,l9999
FastCache,1,10,304.239,946782609,3415960,121635401376,428537,0.000143,205,0.000431
FastCache,1,50,303.122,946782609,3411180,156076524132,549592,0.000144,185,0.000382
FastCache,1,100,304.698,946782609,3454210,121465284699,430582,0.000142,189,0.000403
FastCache,1,300,298.275,946782609,3411050,102652882047,362771,0.000143,199,0.000388
FastCache,1,500,296.28,946782609,3481460,124618375550,448886,0.00014,177,0.00034
FastCache,2,10,348.999,925150951,2818050,54076534361,161655,0.000131,152,0.000226
FastCache,2,50,348.556,925150951,2807750,61806746550,183944,0.000131,155,0.000261
FastCache,2,100,347.687,925150951,2819140,59326642682,177538,0.000131,152,0.000252
FastCache,2,300,348.618,925150951,2818130,59092910978,176779,0.000131,152,0.000215
FastCache,2,500,348.555,925150951,2811570,58633868092,174967,0.000131,153,0.000304
FastCache,23,10,425.284,717324319,1700000,45666370684,105863,0.000138,159,0.000258
FastCache,23,50,418.996,717324319,1730000,45400000000,107004,0.000137,157,0.000214
FastCache,23,100,419.999,717324319,1720000,45235017568,106217,0.000137,156,0.000246
FastCache,23,300,418.37,717324319,1730500,45144449488,106349,0.000135,154,0.00025
FastCache,23,500,419.93,717324319,1723630,44939157827,105444,0.000136,155,0.000214
FastCache,25,10,435.436,1525189585,4150000,40105791489,106532,0.000133,179,0.00096
FastCache,25,50,440.714,1525189585,4100000,11836224268,30985.4,0.000133,177,0.00124
FastCache,25,100,420.273,1525189585,4250000,52953491389,143983,0.000132,170,0.000335
FastCache,25,300,434.774,1525189585,4210000,41212908300,111159,0.000133,178,0.000334
FastCache,25,500,475.752,1525189585,4040000,21102138566,54556.6,0.000136,235,0.000448
